SCHOOL_NAME,LEADERS_RATING
"Abraham Lincoln Elementary School","Weak"
"Adam Clayton Powell Paideia Community Academy Elementary School","Weak"
"Adlai E Stevenson Elementary School","Weak"
"Agustin Lara Elementary Academy","Weak"
"Air Force Academy High School","Weak"
"Albany Park Multicultural Academy","Weak"
"Albert G Lane Technical High School","Weak"
"Albert R Sabin Elementary Magnet School","Weak"
"Alcott High School for the Humanities","Weak"
"Alessandro Volta Elementary School","Weak"
"Alexander Graham Bell Elementary School","Weak"
"Alexander Graham Elementary School","Weak"
"Alexander Hamilton Elementary School","Weak"
"Alexander von Humboldt Elementary School","Weak"
"Alex Haley Elementary Academy","Weak"
"Alfred David Kohn Elementary School","Weak"
"Alfred Nobel Elementary School","Weak"
"Alice L Barnard Computer Math & Science Center Elementary School","Weak"
"Al Raby High School","Weak"
"Ambrose Plamondon Elementary School","Weak"
"Amelia Earhart Options for Knowledge Elementary School","Weak"
"Ames Middle School","Weak"
"Amos Alonzo Stagg Elementary School","Weak"
"Ana Roque de Duprey Elementary School","Weak"
"Andrew Carnegie Elementary School","Weak"
"Andrew Jackson Elementary Language Academy","Weak"
"Anna R. Langford Community Academy","Weak"
"Annie Keller Elementary Gifted Magnet School","Weak"
"A.N. Pritzker School","Weak"
"Anthony Overton Elementary School","Weak"
"Ariel Elementary Community Academy","Weak"
"Arna Wendell Bontemps Elementary School","Weak"
"Arnold Mireles Elementary Academy","Weak"
"Arthur A Libby Elementary School","Weak"
"Arthur Dixon Elementary School","Weak"
"Arthur E Canty Elementary School","Weak"
"Arthur R Ashe Elementary School","Weak"
"Asa Philip Randolph Elementary School","Weak"
"Ashburn Community Elementary School","Weak"
"Augustus H Burley Elementary School","Weak"
"Austin Business and Entrepreneurship Academy High School","Weak"
"Austin O Sexton Elementary School","Weak"
"Austin Polytechnical Academy High School","Weak"
"Avalon Park Elementary School","Weak"
"Barbara Vick Early Childhood & Family Center","Weak"
"Belmont-Cragin Elementary School","Weak"
"Benito Juarez Community Academy High School","Weak"
"Benjamin Banneker Elementary School","Weak"
"Benjamin E Mays Elementary Academy","Weak"
"Bernhard Moos Elementary School","Weak"
"Betsy Ross Elementary School","Weak"
"Beulah Shoesmith Elementary School","Weak"
"Blair Early Childhood Center","Weak"
"Bret Harte Elementary School","Weak"
"Brian Piccolo Elementary Specialty School","Weak"
"Brighton Park Elementary School","Weak"
"Bronzeville Scholastic Academy High School","Weak"
"Burnham Elementary Inclusive Academy","Weak"
"Burnside Elementary Scholastic Academy","Weak"
"Calmeca Academy of Fine Arts and Dual Language","Weak"
"Carl Schurz High School","Weak"
"Carl von Linne Elementary School","Weak"
"Carrie Jacobs Bond Elementary School","Weak"
"Carroll-Rosenwald Specialty Elementary School","Weak"
"Carter G Woodson South Elementary School","Weak"
