2.240,3.581,5.131,5.715,0.889,2.845,6.147,7.016,7.747,8.286,9.321,9.195,1.895,3.708,3.467,5.049,4.846,6.108,7.137,8.295,1.168,2.865,3.912,3.726,4.521,5.664,7.620,9.766,12.497,2.174,8.153,10.757
24.00,43.00,84.00,159.00,3.79,17.00,37.00,54.20,58.00,85.00,89.00,95.00,1.85,5.88,7.02,13.88,17.19,19.80,33.80,40.80,0.83,8.08,21.08,21.08,7.00,15.00,27.00,52.00,65.00,1.76,7.90,20.90
1000,1000,1000,1000,1100,1100,1100,1100,1100,1100,1100,1100,1420,1420,1420,1420,1420,1420,1420,1420,1825,1825,1825,1825,1400,1400,1400,1400,1400,1310,1310,1310
8.47,8.55,8.53,8.60,7.72,7.83,4.91,3.79,3.69,3.70,3.91,3.57,4.43,3.67,2.89,2.56,2.56,2.84,3.22,3.54,3.73,3.45,2.85,2.85,8.88,8.88,8.88,8.88,8.88,5.46,2.15,2.55
299,299,299,297,300,299,299,299,299,298,297,296,298,298,298,298,298,298,298,298,298,295,298,298,303,303,303,303,303,313,309,312
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
